Entry,Pass,Range,Code,Pedigree,Site Release,Year Release,Shed GDU,Silk GDU,PLTHT (cm),EARHT (cm),Origin,Country,Section
94,10,7,GEMS-0338,GEMS-0293/GEMS-0281-034-03,Raleigh,2025.0,1699,1699,274,122,Tropical Inbred/Dente Amarelo,Mexico/Brazil,GEM Released Line
95,11,7,GEMS-0339/MBS8488,,,,1396,1396,307,114,,,Hybrid
96,12,7,GEMS-0340/MBS8488,,,,1368,1396,295,104,,,Hybrid
97,13,7,GEMS-0341/MBS8814,,,,1396,1396,315,137,,,Hybrid
98,14,7,GEMN-0342/EC018,,,,1455,1426,348,155,,,Hybrid
99,15,7,GEMN-0343,,Raleigh,2026.0,1525,1525,272,109,Tropical Hybrid/Mixed,Thailand/Mixed,GEM Released Line
100,16,7,GEMS-0314/MBS9451,,,,1396,1426,335,132,,,Hybrid
101,17,7,GEMS-0313/MBS9451,,,,1347,1347,315,117,,,Hybrid
102,18,7,MBS3628/GEMN-0309,,,,1330,1347,318,132,,,Hybrid
103,19,7,GEMS-0308/MBS9451,,,,1347,1396,325,122,,,Hybrid
104,20,7,GEMS-0307/MBS9451,,,,1455,1455,300,127,,,Hybrid
105,21,7,GEMS-0306/MBS9451,,,,1426,1426,305,130,,,Hybrid
106,22,7,GEMS-0304/MBS9451,,,,1347,1347,302,109,,,Hybrid
107,23,7,GEMS-0303/MBS9451,,,,1396,1396,318,102,,,Hybrid
108,24,7,GEMS-0298/MBS9451,,,,1368,1396,323,109,,,Hybrid
109,25,7,MBS3495/GEMN-0287,,,,1455,1426,338,107,,,Hybrid
110,26,7,MBS3628/GEMN-0178,,,,1426,1455,348,127,,,Hybrid
111,27,7,GEMS-0321/PH1GD,,,,1396,1368,345,135,,,Hybrid
112,28,7,GEMS-0320/PH1GD,,,,1396,1368,328,132,,,Hybrid
